Conv.ID	SCD	Gender	Age	Ethnicity	Education	Occupation	Languages	First.Lang	Partner.ID	Relationship	Transcripts
3000	3000-1	M	2X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3000-2	FRIENDS	Same Room
3000	3000-2	M	2X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3000-1	FRIENDS	Same Room
3001	3001-1	M	2X	CHINESE	A-LEVEL	EXECUTIVE	"ENGLISH, CHINESE"	ENGLISH	3001-2	PARTNER	Same Room
3001	3001-2	F	2X	MALAY	BACHELOR	STUDENT	"ENGLISH, MALAY"	ENGLISH	3001-1	PARTNER	Same Room
3003	3003-1	F	1X	CHINESE	O-LEVEL	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3003-2	FRIENDS	Same Room
3003	3003-2	M	1X	INDIAN	O-LEVEL	STUDENT	"ENGLISH, MALAY, OTHER"	ENGLISH	3003-1	FRIENDS	Same Room
3004	3004-1	F	2X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3004-2	FRIENDS	Same Room
3004	3004-2	F	2X	CHINESE	A-LEVEL	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3004-1	FRIENDS	Same Room
3005	3005-1	M	2X	CHINESE	A-LEVEL	STUDENT	"ENGLISH, CHINESE, MALAY"	ENGLISH	3005-2	PARTNER	Same Room
3005	3005-2	F	2X	CHINESE	A-LEVEL	STUDENT	"ENGLISH, CHINESE, OTHER"	ENGLISH	3005-1	PARTNER	Same Room
3006	3006-1	M	2X	CHINESE	DIPLOMA	HEALTHCARE	"ENGLISH, CHINESE"	ENGLISH	3006-2	PARTNER	Same Room
3006	3006-2	F	2X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE, HOKKIEN"	ENGLISH	3006-1	PARTNER	Same Room
3007	3007-1	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3007-2	FRIENDS	Same Room
3007	3007-2	M	3X	CHINESE	BACHELOR	ANALYST	"ENGLISH, CHINESE"	ENGLISH	3007-1	FRIENDS	Same Room
3008	3008-1	F	2X	CHINESE	DIPLOMA	EDUCATOR	"ENGLISH, CHINESE"	ENGLISH	3008-2	PARTNER	Same Room
3008	3008-2	M	3X	MALAY	DIPLOMA	ENGINEER	"ENGLISH, MALAY"	ENGLISH	3008-1	PARTNER	Same Room
3009	3009-1	F	2X	CHINESE	BACHELOR	N/A	"ENGLISH, CHINESE"	ENGLISH	3009-2	PARTNER	Same Room
3009	3009-2	M	2X	CHINESE	DIPLOMA	MILITARY	"ENGLISH, CHINESE"	ENGLISH	3009-1	PARTNER	Same Room
3010	3010-1	F	2X	CHINESE	BACHELOR	MANAGEMENT	"ENGLISH, CHINESE"	ENGLISH	3010-2	FAMILY	Same Room
3010	3010-2	F	6X	CHINESE	O-LEVEL	RETIRED	"ENGLISH, CHINESE"	ENGLISH	3010-1	FAMILY	Same Room
3011	3011-1	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3011-2	PARTNER	Same Room
3011	3011-2	M	2X	OTHERS	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3011-1	PARTNER	Same Room
3012	3012-1	M	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3012-2	PARTNER	Same Room
3012	3012-2	F	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3012-1	PARTNER	Same Room
3013	3013-1	F	3X	CHINESE	BACHELOR	FINANCE 	"ENGLISH, CHINESE"	ENGLISH	3013-2	FRIENDS	Same Room
3013	3013-2	M	2X	CHINESE	BACHELOR	FINANCE	"ENGLISH, CHINESE"	ENGLISH	3013-1	FRIENDS	Same Room
3014	3014-1	M	3X	CHINESE	BACHELOR	ENGINEER	"ENGLISH, CHINESE"	ENGLISH	3014-2	PARTNER	Same Room
3014	3014-2	F	3X	CHINESE	BACHELOR	ACCOUNTANT	"ENGLISH, CHINESE"	ENGLISH	3014-1	PARTNER	Same Room
3015	3015-1	F	2X	CHINESE	BACHELOR	MICE	"ENGLISH, CHINESE"	ENGLISH	3015-2	FAMILY	Same Room
3015	3015-2	M	2X	CHINESE	DIPLOMA	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3015-1	FAMILY	Same Room
3016	3016-1	M	2X	CHINESE	BACHELOR	STUDENT	"ENGLISH, CHINESE"	ENGLISH	3016-2	FRIENDS	Same Room
