Sex	Height	Weight
Male	168	63.5
Male	183	65.8
Male	187	72.6
Male	185	86.2
Male	175	70.3
Male	185	74.8
Male	183	68
Male	188	86.2
Male	183	88.5
Male	180	62.6
Male	188	72.6
Male	183	70.3
Male	178	69.4
Male	170	65.8
Male	180	77.1
Male	183	79.4
Male	175	79.4
Male	185	77.1
Male	188	81.6
Male	168	61.2
Male	180	77.1
Male	178	71.2
Male	178	59
Male	191	83.9
Male	188	86.2
Male	180	70.3
Male	175	77.1
Male	178	70.3
Male	183	97.5
Male	170	68
Male	175	65.8
Male	185	70.3
Male	185	70.3
Male	180	68
Male	173	70.3
Male	177	68
Male	185	81.6
Male	191	72.6
Male	168	61.2
Male	175	72.6
Male	168	59
Male	185	70.3
Male	173	68
Male	188	67.1
Male	187	70.3
Male	178	68
Male	170	63.5
Male	183	81.6
Male	191	86.2
Male	173	65.8
Male	175	68
Male	182	74.4
Male	180	63.5
Male	183	64.4
Male	175	61.7
Male	170	55.8
Male	173	70.3
Female	155	63.5
Female	168	54.4
Female	173	59
Female	173	62.6
Female	160	54.9
Female	178	56.7
Female	173	52.6
Female	175	65.8
Female	175	68
Female	159	50.8
Female	173	56.7
Female	168	59
Female	166	54.4
Female	168	59
Female	157	59.4
Female	157	54.4
Female	160	53.5
Female	170	56.7
Female	165	61.2
Female	168	56.7
Female	165	53.5
Female	165	55.3
Female	165	52.2
Female	163	46.3
Female	170	52.2
Female	175	68
Female	173	49.9
Female	160	52.6
Female	157	49
Female	160	43.1
Female	163	56.7
Female	173	60.3
Female	157	49.9
Female	170	68
Female	157	49
