"SCD"	"Transcripts"	"Gender"	"Age"	"Ethnicity"	"Education"	"Occupation"	"Languages"	"First.Lang"	"Partner.ID"	"Relationship"	"conv"	"ah"	"lah"	"lor"	"leh"	"hor"	"mah"	"meh"	"sia"

"3000-1"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3000-2"	"FRIENDS"	"3000"	5	8	0	0	0	0	0	0

"3000-2"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3000-1"	"FRIENDS"	"3000"	10	32	0	0	0	0	0	0

"3001-1"	"Same Room"	"M"	"2X"	"CHINESE"	"A-LEVEL"	"EXECUTIVE"	"ENGLISH, CHINESE"	"ENGLISH"	"3001-2"	"PARTNER"	"3001"	35	87	6	7	1	1	0	1

"3001-2"	"Same Room"	"F"	"2X"	"MALAY"	"BACHELOR"	"STUDENT"	"ENGLISH, MALAY"	"ENGLISH"	"3001-1"	"PARTNER"	"3001"	14	42	3	2	0	0	6	0

"3003-1"	"Same Room"	"F"	"1X"	"CHINESE"	"O-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3003-2"	"FRIENDS"	"3003"	30	29	13	4	1	0	0	0

"3003-2"	"Same Room"	"M"	"1X"	"INDIAN"	"O-LEVEL"	"STUDENT"	"ENGLISH, MALAY, OTHER"	"ENGLISH"	"3003-1"	"FRIENDS"	"3003"	20	49	15	2	0	1	2	0

"3004-1"	"Same Room"	"F"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3004-2"	"FRIENDS"	"3004"	108	103	28	7	3	10	17	12

"3004-2"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3004-1"	"FRIENDS"	"3004"	74	186	17	11	0	1	52	62

"3005-1"	"Same Room"	"M"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE, MALAY"	"ENGLISH"	"3005-2"	"PARTNER"	"3005"	11	62	6	5	2	3	0	2

