"SCD"	"Transcripts"	"Gender"	"Age"	"Ethnicity"	"Education"	"Occupation"	"Languages"	"First.Lang"	"Partner.ID"	"Relationship"	"Filler"	"conv"	"Freq"	"Wordcount"	"Freq.per.1000"	"Dyad"
"3000-1"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3000-2"	"FRIENDS"	"um"	"3000"	19	4851	3.91671820243249	"Same-gender"
"3000-1"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3000-2"	"FRIENDS"	"uh"	"3000"	4	4851	0.824572253143682	"Same-gender"
"3000-2"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3000-1"	"FRIENDS"	"um"	"3000"	5	3406	1.46799765120376	"Same-gender"
"3000-2"	"Same Room"	"M"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3000-1"	"FRIENDS"	"uh"	"3000"	2	3406	0.587199060481503	"Same-gender"
"3001-1"	"Same Room"	"M"	"2X"	"CHINESE"	"A-LEVEL"	"EXECUTIVE"	"ENGLISH, CHINESE"	"ENGLISH"	"3001-2"	"PARTNER"	"um"	"3001"	9	13655	0.659099231050897	"Different-gender"
"3001-1"	"Same Room"	"M"	"2X"	"CHINESE"	"A-LEVEL"	"EXECUTIVE"	"ENGLISH, CHINESE"	"ENGLISH"	"3001-2"	"PARTNER"	"uh"	"3001"	96	13655	7.03039179787624	"Different-gender"
"3001-2"	"Same Room"	"F"	"2X"	"MALAY"	"BACHELOR"	"STUDENT"	"ENGLISH, MALAY"	"ENGLISH"	"3001-1"	"PARTNER"	"um"	"3001"	5	7303	0.68465014377653	"Different-gender"
"3001-2"	"Same Room"	"F"	"2X"	"MALAY"	"BACHELOR"	"STUDENT"	"ENGLISH, MALAY"	"ENGLISH"	"3001-1"	"PARTNER"	"uh"	"3001"	31	7303	4.24483089141449	"Different-gender"
"3003-1"	"Same Room"	"F"	"1X"	"CHINESE"	"O-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3003-2"	"FRIENDS"	"um"	"3003"	88	7282	12.0845921450151	"Different-gender"
"3003-1"	"Same Room"	"F"	"1X"	"CHINESE"	"O-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3003-2"	"FRIENDS"	"uh"	"3003"	14	7282	1.92254875034331	"Different-gender"
"3003-2"	"Same Room"	"M"	"1X"	"INDIAN"	"O-LEVEL"	"STUDENT"	"ENGLISH, MALAY, OTHER"	"ENGLISH"	"3003-1"	"FRIENDS"	"um"	"3003"	135	14365	9.3978419770275	"Different-gender"
"3003-2"	"Same Room"	"M"	"1X"	"INDIAN"	"O-LEVEL"	"STUDENT"	"ENGLISH, MALAY, OTHER"	"ENGLISH"	"3003-1"	"FRIENDS"	"uh"	"3003"	20	14365	1.39227288548556	"Different-gender"
"3004-1"	"Same Room"	"F"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3004-2"	"FRIENDS"	"um"	"3004"	16	16118	0.992678992430823	"Same-gender"
"3004-1"	"Same Room"	"F"	"2X"	"CHINESE"	"DIPLOMA"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3004-2"	"FRIENDS"	"uh"	"3004"	49	16118	3.04007941431939	"Same-gender"
"3004-2"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3004-1"	"FRIENDS"	"um"	"3004"	3	13315	0.225309800976342	"Same-gender"
"3004-2"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE"	"ENGLISH"	"3004-1"	"FRIENDS"	"uh"	"3004"	15	13315	1.12654900488171	"Same-gender"
"3005-1"	"Same Room"	"M"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE, MALAY"	"ENGLISH"	"3005-2"	"PARTNER"	"um"	"3005"	11	10504	1.04722010662605	"Different-gender"
"3005-1"	"Same Room"	"M"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE, MALAY"	"ENGLISH"	"3005-2"	"PARTNER"	"uh"	"3005"	85	10504	8.09215536938309	"Different-gender"
"3005-2"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE, OTHER"	"ENGLISH"	"3005-1"	"PARTNER"	"um"	"3005"	3	11581	0.259044987479492	"Different-gender"
"3005-2"	"Same Room"	"F"	"2X"	"CHINESE"	"A-LEVEL"	"STUDENT"	"ENGLISH, CHINESE, OTHER"	"ENGLISH"	"3005-1"	"PARTNER"	"uh"	"3005"	51	11581	4.40376478715137	"Different-gender"
