Participant	Gender	RT
M1	M	363.6018924
M2	M	616.982694
M3	M	544.3105192
M4	M	613.0132956
M5	M	459.2547086
M6	M	494.3325145
M7	M	549.8786785
M8	M	497.7173715
M9	M	729.613218
M10	M	388.0167212
M11	M	639.5600099
M12	M	501.3271
M13	M	613.7796955
M14	M	491.8822605
M15	M	535.7315788
M16	M	576.907719
M17	M	573.7895917
M18	M	692.4097385
M19	M	672.714435
M20	M	577.3980237
M21	M	479.0482745
M22	M	583.8488059
M23	M	614.1092505
M24	M	574.9113395
M25	M	459.0655518
M26	M	625.5251264
M27	M	482.4242232
M28	M	525.6989531
M29	M	513.813103
M30	M	562.8249784
M31	M	682.4637183
M32	M	527.3960027
M33	M	570.8150905
M34	M	372.2391843
M35	M	644.2175762
M36	M	491.4552839
M37	M	586.7361253
M38	M	724.0934765
M39	M	596.5072731
M40	M	568.3379698
M41	M	518.6045735
M42	M	676.6746371
M43	M	728.6802011
M44	M	571.9638145
M45	M	397.7284276
M46	M	637.8427295
M47	M	646.6456209
M48	M	495.3861787
M49	M	446.6653895
M50	M	588.382208
M51	M	518.8057006
M52	M	825.7764192
M53	M	658.3192748
M54	M	557.718533
M55	M	627.9242372
M56	M	576.3505224
M57	M	629.2989724
M58	M	676.382946
M59	M	536.5401072
M60	M	690.8155172
F1	F	626.666822
F2	F	517.9540484
F3	F	426.6885123
F4	F	334.8238721
F5	F	544.0395641
F6	F	465.9819405
F7	F	426.6911575
F8	F	564.8614421
F9	F	614.4155705
F10	F	414.6219628
F11	F	536.5262804
F12	F	812.0104091
F13	F	674.6446073
F14	F	636.893536
F15	F	525.859157
F16	F	659.3385311
F17	F	706.5004193
F18	F	499.711215
F19	F	549.4460553
F20	F	397.3893168
F21	F	507.9795633
F22	F	657.8759336
F23	F	447.0080982
F24	F	515.0941846
F25	F	408.1673442
F26	F	474.396894
F27	F	604.3524799
F28	F	426.4612011
F29	F	561.8615508
F30	F	596.672301
F31	F	758.8601463
F32	F	427.6158725
F33	F	620.5065912
F34	F	562.903653
F35	F	585.2005891
F36	F	806.9931017
F37	F	725.9815666
F38	F	329.7734599
F39	F	834.8721328
F40	F	564.1144388
F41	F	443.6052439
F42	F	698.0427981
F43	F	674.5175808
F44	F	646.679509
F45	F	521.1870109
F46	F	639.7070192
F47	F	616.8435657
F48	F	447.9513745
F49	F	554.4262529
F50	F	508.086096
F51	F	622.2236861
F52	F	444.4136845
F53	F	565.4668648
F54	F	693.2509177
F55	F	489.2713888
F56	F	447.7649537
F57	F	500.5874144
F58	F	720.7832139
F59	F	587.3329459
F60	F	782.1545315
