Participant	Drug	RT
A1	Yes	298.2055008
A2	Yes	493.4274853
A3	Yes	494.1791845
A4	Yes	603.4340028
A5	Yes	527.75325
A6	Yes	615.8369893
A7	Yes	499.8590344
A8	Yes	479.1132686
A9	Yes	509.2282216
A10	Yes	676.1363672
A11	Yes	493.392199
A12	Yes	428.6320156
A13	Yes	510.9672275
A14	Yes	705.6576415
A15	Yes	522.0549119
A16	Yes	655.9556911
A17	Yes	456.668176
A18	Yes	671.528212
A19	Yes	612.6717946
A20	Yes	687.9048833
A21	Yes	638.5449366
A22	Yes	443.0992418
A23	Yes	843.7330346
A24	Yes	510.9181609
A25	Yes	522.4284863
A26	Yes	804.076233
A27	Yes	561.3385522
A28	Yes	763.6101095
A29	Yes	503.5788978
A30	Yes	594.5214886
A31	Yes	473.8767396
A32	Yes	673.2572556
A33	Yes	630.6891988
A34	Yes	538.7811503
A35	Yes	510.0799201
A36	Yes	505.5015893
A37	Yes	538.3160372
A38	Yes	572.1843159
A39	Yes	698.2508579
A40	Yes	773.7018342
A41	Yes	536.5576321
A42	Yes	703.4464453
A43	Yes	540.6936927
A44	Yes	532.789988
A45	Yes	640.9957233
A46	Yes	515.0685874
A47	Yes	575.8012587
A48	Yes	557.1726731
A49	Yes	459.804308
A50	Yes	713.1342411
A51	Yes	594.8786788
A52	Yes	599.4467747
A53	Yes	477.2791913
A54	Yes	566.0528592
A55	Yes	552.7614561
A56	Yes	551.2439382
A57	Yes	641.644813
A58	Yes	571.8430296
A59	Yes	557.9292444
A60	Yes	494.4989395
A1	No	311.7142616
A2	No	535.1837523
A3	No	514.4190439
A4	No	607.5757182
A5	No	549.5847478
A6	No	593.7879918
A7	No	518.9635412
A8	No	489.4923265
A9	No	549.6420741
A10	No	681.9568156
A11	No	491.614981
A12	No	416.1779212
A13	No	537.667578
A14	No	711.2800394
A15	No	530.4886013
A16	No	653.1454796
A17	No	455.6972378
A18	No	656.7946122
A19	No	638.9950161
A20	No	676.3466802
A21	No	615.3317621
A22	No	470.7379645
A23	No	847.2345767
A24	No	506.3788308
A25	No	533.4429769
A26	No	793.1983514
A27	No	551.6502454
A28	No	738.6572591
A29	No	497.2342376
A30	No	595.8855835
A31	No	507.7920484
A32	No	685.293716
A33	No	660.0491529
A34	No	533.4123467
A35	No	560.8085103
A36	No	540.5380066
A37	No	561.8010907
A38	No	583.8053962
A39	No	701.6796718
A40	No	782.1427604
A41	No	551.2016876
A42	No	743.3541948
A43	No	560.7554053
A44	No	546.9769851
A45	No	634.0658399
A46	No	530.7798647
A47	No	591.4008561
A48	No	574.8182593
A49	No	490.7144573
A50	No	731.285612
A51	No	610.0926928
A52	No	613.4021904
A53	No	468.5976087
A54	No	583.1887572
A55	No	566.516648
A56	No	575.7994582
A57	No	691.8341389
A58	No	585.2562635
A59	No	545.9519059
A60	No	512.2244594
