SCD	Gender	conv	Freq	Wordcount	Freq.per.1000
3000-1	M	3000	0	4851	0
3000-2	M	3000	0	3406	0
3001-1	M	3001	1	13655	0.073233248
3001-2	F	3001	0	7303	0
3004-1	F	3004	12	16118	0.744509244
3004-2	F	3004	62	13315	4.656402554
3005-1	M	3005	2	10504	0.190403656
3005-2	F	3005	0	11581	0
3006-1	M	3006	3	13042	0.23002607
3006-2	F	3006	1	12668	0.078939059
3008-1	F	3008	0	10644	0
3008-2	M	3008	0	8959	0
3009-1	F	3009	5	13302	0.375883326
3009-2	M	3009	24	11616	2.066115702
3015-1	F	3015	2	12646	0.158152776
3015-2	M	3015	1	10642	0.093967299
3017-1	F	3017	27	13570	1.989683125
3017-2	F	3017	1	8017	0.124734938
3019-2	M	3019	6	7222	0.830794794
3025-2	M	3025	1	8908	0.112258644
