SCD	speaker	tmin	tmax	text
3003-1 	A:	0	2.012	<S>
3003-2 	B:	0	1.355	<S>
3003-2 	B:	1.355	2.568	okay hello
3003-1 	A:	2.012	6.374	okay [eh] wait just now in the text they say you got fifteen minute introduction
3003-2 	B:	2.568	3.205	<S>
3003-2 	B:	3.205	3.805	you
3003-2 	B:	3.805	9.255	<S>
3003-1 	A:	6.374	7.387	<S>
3003-1 	A:	7.387	7.887	so
3003-1 	A:	7.887	8.449	<S>
3003-1 	A:	8.449	9.624	(uh) okay okay
3003-2 	B:	9.255	11.68	[orh] okay so like we don't have to introduce ourselves is it
3003-1 	A:	9.624	14.049	<S>
3003-2 	B:	11.68	12.343	<S>
3003-2 	B:	12.343	13.718	[ah] actually we can [lah] you want to
3003-2 	B:	13.718	14.43	<S>
3003-1 	A:	14.049	18.011	what okay hi my name is #Pei-Ying# nice to meet you (ppl)
3003-2 	B:	14.43	15.805	introduce yourself come on
3003-2 	B:	15.805	18.018	<S>
3003-1 	A:	18.011	22.036	<S>
3003-2 	B:	18.018	22.105	(uh) (uh) my name is #Kahshee# (um) what what school were you from
3003-1 	A:	22.036	22.501632	I'm from 
3003-2 	B:	22.105	23.218	<S>
3003-1 	A:	22.501632	23.461	<Z>
3003-2 	B:	23.218	24.860636	[oh] that's very interesting I also was from 
3003-1 	A:	23.461	25.286	<S>
3003-2 	B:	24.860636	25.525	<S>
3003-1 	A:	25.286	26.173	<Z>
3003-2 	B:	25.525	26.175	<S>
3003-1 	A:	26.173	27.436	nice (ppl)
3003-2 	B:	26.175	27.775	(err) where where are you studying now
3003-1 	A:	27.436	27.948	<S>
3003-2 	B:	27.775	30.088	<S>
3003-1 	A:	27.948	28.768375	I'm studying in
3003-1 	A:	28.768375	29.560606	<Z>
3003-1 	A:	29.560606	29.988605	right now
3003-1 	A:	29.988605	31.323	<S>
3003-2 	B:	30.088	31.313	what what are you studying
3003-2 	B:	31.313	34	<S>
3003-1 	A:	31.323	31.832793	(um)
3003-1 	A:	31.832793	33.811	<Z>
3003-1 	A:	33.811	34.773	<S>
3003-2 	B:	34	35.175	yes yes
3003-1 	A:	34.773	35.886	so like (um)
3003-2 	B:	35.175	36.088	okay
3003-1 	A:	35.886	37.298	<S>
3003-2 	B:	36.088	40.175	<S>
3003-1 	A:	37.298	37.667545	in  
3003-1 	A:	37.667545	38.649354	<Z>
3003-1 	A:	38.649354	39.948	like you have to sign a bond
3003-1 	A:	39.948	40.848	<S>
3003-2 	B:	40.175	40.9	<Z>
3003-1 	A:	40.848	44.773	so like after I graduate right I will have to work for the agency
3003-2 	B:	40.9	48.775	<S>
3003-1 	A:	44.773	45.473	<S>
3003-1 	A:	45.473	47.36	so like I sign for
3003-1 	A:	47.36	48.06	<S>
3003-1 	A:	48.06	51.41	two years so after that I need to work for two years
3003-2 	B:	48.775	49.525	<Z>
3003-2 	B:	49.525	53.775	<S>
3003-1 	A:	51.41	52.185	<S>
